# Force coefficients		
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)		
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)		
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)		
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)		
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)		
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)		
# magUInf     : 1.000000e-04		
# lRef        : 1.000000e+00		
# Aref        : 1.000000e+00		
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)		
#		
# Time        	Cd            	Cl            
100.01	1.684500e+00	1.986086e-01
100.02	1.684569e+00	1.993858e-01
100.03	1.684644e+00	2.001554e-01
100.04	1.684744e+00	2.009103e-01
100.05	1.684811e+00	2.016486e-01
100.06	1.684858e+00	2.023867e-01
100.07	1.684947e+00	2.031083e-01
100.08	1.685030e+00	2.038113e-01
100.09	1.685115e+00	2.044887e-01
100.1	1.685188e+00	2.051780e-01
100.11	1.685250e+00	2.058663e-01
100.12	1.685323e+00	2.064960e-01
100.13	1.685402e+00	2.071464e-01
100.14	1.685471e+00	2.077911e-01
100.15	1.685560e+00	2.083916e-01
100.16	1.685632e+00	2.090003e-01
100.17	1.685690e+00	2.095833e-01
100.18	1.685766e+00	2.101537e-01
100.19	1.685825e+00	2.107205e-01
100.2	1.685904e+00	2.112484e-01
100.21	1.685996e+00	2.117847e-01
100.22	1.686053e+00	2.123097e-01
100.23	1.686124e+00	2.128023e-01
100.24	1.686199e+00	2.132963e-01
100.25	1.686268e+00	2.137787e-01
100.26	1.686328e+00	2.142419e-01
100.27	1.686410e+00	2.146924e-01
100.28	1.686498e+00	2.151354e-01
100.29	1.686548e+00	2.155556e-01
100.3	1.686605e+00	2.159608e-01
100.31	1.686662e+00	2.163655e-01
100.32	1.686720e+00	2.167393e-01
100.33	1.686794e+00	2.171008e-01
100.34	1.686876e+00	2.174471e-01
100.35	1.686935e+00	2.177789e-01
100.36	1.687001e+00	2.181084e-01
100.37	1.687066e+00	2.184274e-01
100.38	1.687139e+00	2.187130e-01
100.39	1.687199e+00	2.189781e-01
100.4	1.687253e+00	2.192690e-01
100.41	1.687319e+00	2.195310e-01
100.42	1.687376e+00	2.197545e-01
100.43	1.687436e+00	2.199808e-01
100.44	1.687472e+00	2.201930e-01
100.45	1.687525e+00	2.203972e-01
100.46	1.687568e+00	2.205694e-01
100.47	1.687630e+00	2.207443e-01
100.48	1.687704e+00	2.208994e-01
100.49	1.687775e+00	2.210228e-01
100.5	1.687828e+00	2.211473e-01
100.51	1.687872e+00	2.212706e-01
100.52	1.687924e+00	2.213759e-01
100.53	1.687970e+00	2.214373e-01
100.54	1.688013e+00	2.214858e-01
100.55	1.688043e+00	2.215722e-01
100.56	1.688083e+00	2.216038e-01
100.57	1.688147e+00	2.216210e-01
100.58	1.688183e+00	2.216267e-01
100.59	1.688214e+00	2.216322e-01
100.6	1.688252e+00	2.216154e-01
100.61	1.688297e+00	2.215810e-01
100.62	1.688357e+00	2.215298e-01
100.63	1.688416e+00	2.214641e-01
100.64	1.688457e+00	2.213964e-01
100.65	1.688493e+00	2.213047e-01
100.66	1.688498e+00	2.212039e-01
100.67	1.688565e+00	2.210953e-01
100.68	1.688626e+00	2.209471e-01
100.69	1.688645e+00	2.207917e-01
100.7	1.688660e+00	2.206473e-01
100.71	1.688685e+00	2.204768e-01
100.72	1.688732e+00	2.202760e-01
100.73	1.688765e+00	2.200753e-01
100.74	1.688785e+00	2.198836e-01
100.75	1.688802e+00	2.196486e-01
100.76	1.688881e+00	2.193971e-01
100.77	1.688897e+00	2.191221e-01
100.78	1.688931e+00	2.188505e-01
100.79	1.688965e+00	2.185718e-01
100.8	1.688983e+00	2.182884e-01
100.81	1.688974e+00	2.179670e-01
100.82	1.689019e+00	2.176242e-01
100.83	1.689051e+00	2.172755e-01
100.84	1.689085e+00	2.169238e-01
100.85	1.689081e+00	2.165611e-01
100.86	1.689109e+00	2.161803e-01
100.87	1.689143e+00	2.157810e-01
100.88	1.689165e+00	2.153687e-01
100.89	1.689157e+00	2.149550e-01
100.9	1.689143e+00	2.145056e-01
100.91	1.689190e+00	2.140510e-01
100.92	1.689223e+00	2.135831e-01
100.93	1.689229e+00	2.131034e-01
100.94	1.689214e+00	2.126084e-01
100.95	1.689209e+00	2.120933e-01
100.96	1.689248e+00	2.115719e-01
100.97	1.689259e+00	2.110371e-01
100.98	1.689267e+00	2.104956e-01
100.99	1.689282e+00	2.099190e-01
101	1.689303e+00	2.093518e-01
101.01	1.689281e+00	2.087705e-01
101.02	1.689266e+00	2.081693e-01
101.03	1.689280e+00	2.075524e-01
101.04	1.689309e+00	2.069241e-01
101.05	1.689280e+00	2.063008e-01
101.06	1.689266e+00	2.056201e-01
101.07	1.689275e+00	2.049474e-01
101.08	1.689291e+00	2.042813e-01
101.09	1.689288e+00	2.035933e-01
101.1	1.689269e+00	2.028758e-01
101.11	1.689281e+00	2.021591e-01
101.12	1.689256e+00	2.014248e-01
101.13	1.689246e+00	2.006842e-01
101.14	1.689229e+00	1.999204e-01
101.15	1.689239e+00	1.991433e-01
101.16	1.689245e+00	1.983676e-01
101.17	1.689200e+00	1.975816e-01
101.18	1.689180e+00	1.967636e-01
101.19	1.689162e+00	1.959370e-01
101.2	1.689136e+00	1.951069e-01
101.21	1.689114e+00	1.942666e-01
101.22	1.689113e+00	1.934011e-01
101.23	1.689068e+00	1.925352e-01
101.24	1.689050e+00	1.916553e-01
101.25	1.689041e+00	1.907371e-01
101.26	1.689032e+00	1.898305e-01
101.27	1.688990e+00	1.889208e-01
101.28	1.688978e+00	1.880029e-01
101.29	1.688941e+00	1.870530e-01
101.3	1.688902e+00	1.860803e-01
101.31	1.688864e+00	1.851091e-01
101.32	1.688836e+00	1.841259e-01
101.33	1.688779e+00	1.831395e-01
101.34	1.688754e+00	1.821606e-01
101.35	1.688720e+00	1.811510e-01
101.36	1.688712e+00	1.801164e-01
101.37	1.688709e+00	1.790633e-01
101.38	1.688626e+00	1.780089e-01
101.39	1.688598e+00	1.769675e-01
101.4	1.688567e+00	1.758835e-01
101.41	1.688547e+00	1.747922e-01
101.42	1.688500e+00	1.737034e-01
101.43	1.688423e+00	1.725990e-01
101.44	1.688389e+00	1.714779e-01
101.45	1.688352e+00	1.703539e-01
101.46	1.688306e+00	1.692205e-01
101.47	1.688260e+00	1.680662e-01
101.48	1.688230e+00	1.669065e-01
101.49	1.688185e+00	1.657374e-01
101.5	1.688149e+00	1.645650e-01
101.51	1.688094e+00	1.633777e-01
101.52	1.688054e+00	1.621696e-01
101.53	1.687983e+00	1.609515e-01
101.54	1.687934e+00	1.597322e-01
101.55	1.687872e+00	1.584926e-01
101.56	1.687827e+00	1.572480e-01
101.57	1.687781e+00	1.560023e-01
101.58	1.687752e+00	1.547431e-01
101.59	1.687702e+00	1.534699e-01
101.6	1.687644e+00	1.521889e-01
101.61	1.687569e+00	1.508974e-01
101.62	1.687512e+00	1.495894e-01
101.63	1.687478e+00	1.482909e-01
101.64	1.687419e+00	1.469650e-01
101.65	1.687374e+00	1.456367e-01
101.66	1.687289e+00	1.443074e-01
101.67	1.687196e+00	1.429523e-01
101.68	1.687166e+00	1.415808e-01
101.69	1.687106e+00	1.402183e-01
101.7	1.687043e+00	1.388481e-01
101.71	1.686984e+00	1.374498e-01
101.72	1.686942e+00	1.360612e-01
101.73	1.686881e+00	1.346710e-01
101.74	1.686816e+00	1.332573e-01
101.75	1.686766e+00	1.318392e-01
101.76	1.686675e+00	1.304198e-01
101.77	1.686608e+00	1.289867e-01
101.78	1.686542e+00	1.275415e-01
101.79	1.686484e+00	1.260694e-01
101.8	1.686422e+00	1.246163e-01
101.81	1.686374e+00	1.231686e-01
101.82	1.686289e+00	1.216912e-01
101.83	1.686249e+00	1.202173e-01
101.84	1.686177e+00	1.187241e-01
101.85	1.686102e+00	1.172260e-01
101.86	1.686035e+00	1.157066e-01
101.87	1.685987e+00	1.141949e-01
101.88	1.685942e+00	1.126798e-01
101.89	1.685865e+00	1.111499e-01
101.9	1.685790e+00	1.096349e-01
101.91	1.685725e+00	1.080962e-01
101.92	1.685665e+00	1.065442e-01
101.93	1.685577e+00	1.049833e-01
101.94	1.685503e+00	1.034349e-01
101.95	1.685455e+00	1.018742e-01
101.96	1.685427e+00	1.003193e-01
101.97	1.685364e+00	9.874689e-02
101.98	1.685291e+00	9.715525e-02
101.99	1.685247e+00	9.555139e-02
102	1.685153e+00	9.395596e-02
102.01	1.685072e+00	9.234788e-02
102.02	1.685007e+00	9.073548e-02
102.03	1.684946e+00	8.911470e-02
102.04	1.684895e+00	8.750242e-02
102.05	1.684852e+00	8.587700e-02
102.06	1.684764e+00	8.425112e-02
102.07	1.684687e+00	8.262228e-02
102.08	1.684616e+00	8.097315e-02
102.09	1.684567e+00	7.933188e-02
102.1	1.684527e+00	7.768776e-02
102.11	1.684461e+00	7.603801e-02
102.12	1.684388e+00	7.436703e-02
102.13	1.684339e+00	7.271167e-02
102.14	1.684266e+00	7.104554e-02
102.15	1.684219e+00	6.934312e-02
102.16	1.684146e+00	6.768370e-02
102.17	1.684084e+00	6.598750e-02
102.18	1.684036e+00	6.431149e-02
102.19	1.683968e+00	6.262467e-02
102.2	1.683925e+00	6.094031e-02
102.21	1.683861e+00	5.925054e-02
102.22	1.683806e+00	5.755851e-02
102.23	1.683761e+00	5.585450e-02
102.24	1.683703e+00	5.414151e-02
102.25	1.683649e+00	5.242085e-02
102.26	1.683590e+00	5.071062e-02
102.27	1.683531e+00	4.899969e-02
102.28	1.683496e+00	4.728250e-02
102.29	1.683413e+00	4.553996e-02
102.3	1.683371e+00	4.384948e-02
102.31	1.683316e+00	4.210500e-02
102.32	1.683263e+00	4.038363e-02
102.33	1.683224e+00	3.867052e-02
102.34	1.683175e+00	3.692283e-02
102.35	1.683137e+00	3.518437e-02
102.36	1.683096e+00	3.345493e-02
102.37	1.683043e+00	3.171526e-02
102.38	1.682976e+00	2.997404e-02
102.39	1.682939e+00	2.824085e-02
102.4	1.682904e+00	2.649464e-02
102.41	1.682875e+00	2.474581e-02
102.42	1.682858e+00	2.298989e-02
102.43	1.682787e+00	2.126465e-02
102.44	1.682725e+00	1.952645e-02
102.45	1.682715e+00	1.777875e-02
102.46	1.682697e+00	1.605398e-02
102.47	1.682665e+00	1.426514e-02
102.48	1.682610e+00	1.253881e-02
102.49	1.682563e+00	1.078431e-02
102.5	1.682505e+00	9.016539e-03
102.51	1.682493e+00	7.258069e-03
102.52	1.682464e+00	5.517801e-03
102.53	1.682444e+00	3.774371e-03
102.54	1.682435e+00	2.040458e-03
102.55	1.682394e+00	2.691706e-04
102.56	1.682353e+00	-1.458728e-03
102.57	1.682315e+00	-3.206328e-03
102.58	1.682310e+00	-4.950756e-03
102.59	1.682306e+00	-6.689800e-03
102.6	1.682297e+00	-8.430476e-03
102.61	1.682258e+00	-1.019248e-02
102.62	1.682215e+00	-1.193500e-02
102.63	1.682185e+00	-1.367776e-02
102.64	1.682169e+00	-1.542227e-02
102.65	1.682167e+00	-1.715607e-02
102.66	1.682159e+00	-1.888089e-02
102.67	1.682155e+00	-2.062056e-02
102.68	1.682133e+00	-2.234969e-02
102.69	1.682118e+00	-2.408128e-02
102.7	1.682071e+00	-2.580594e-02
102.71	1.682077e+00	-2.754195e-02
102.72	1.682101e+00	-2.924327e-02
102.73	1.682109e+00	-3.094960e-02
102.74	1.682050e+00	-3.270988e-02
102.75	1.682038e+00	-3.443139e-02
102.76	1.682063e+00	-3.612902e-02
102.77	1.682066e+00	-3.784084e-02
102.78	1.682043e+00	-3.953724e-02
102.79	1.682038e+00	-4.122365e-02
102.8	1.682051e+00	-4.294161e-02
102.81	1.682080e+00	-4.462604e-02
102.82	1.682106e+00	-4.631674e-02
